22.162,61.499,193.782,157.208,177.546,156.015,166.896,163.922,210.639,376.626,627.254
22.213,61.686,192.531,157.208,177.546,155.574,166.484,163.576,210.22,375.033,627.278
22.26,63.393,192.531,156.907,177.291,155.461,166.253,163.375,209.707,375.248,623.11
22.413,63.423,192.151,156.551,176.876,154.978,165.818,163.03,208.807,376.003,621.029
22.49,64.151,192.033,156.454,176.753,154.978,165.818,162.919,208.597,373.543,627.327
22.512,62.133,191.742,156.454,176.753,154.833,165.704,162.825,208.772,373.009,620.379
22.561,62.54,191.742,156.175,176.401,154.586,165.391,162.527,208.208,370.861,623.298
22.712,67.409,189.485,154.803,175.522,153.517,164.289,162.026,207.451,370.94,617.771
22.763,65.453,190.953,154.383,175.112,153.517,164.289,161.501,206.496,368.941,610.033
22.818,66.328,190.146,154.383,175.112,153.329,163.818,161.237,206.229,369.804,616.043
22.862,63.77,190.146,154.781,174.885,152.884,163.748,160.964,205.538,369.19,607.728
23.012,62.027,188.927,153.42,173.606,151.842,162.611,160.369,204.904,366.328,603.521
23.061,58.778,189.26,153.309,173.39,151.842,162.611,159.887,204.515,366.019,608.039
23.117,61.278,188.044,153.309,173.39,151.686,162.436,159.792,203.963,365.345,602.215
23.164,59.885,188.044,153.089,173.055,151.46,162.229,159.504,204.493,365.107,614.396
23.313,59.918,188.004,152.278,172.181,150.735,161.253,158.963,202.992,362.787,602.937
23.361,59.702,187.542,152.169,171.906,150.735,161.253,158.746,202.874,363.018,601.133
23.42,57.737,188.82,152.169,171.906,150.531,161.132,158.549,202.328,362.495,599.138
23.466,59.335,188.82,151.91,171.436,150.041,160.562,157.995,201.319,360.283,592.826
23.611,59.22,185.251,148.967,167.949,147.034,157.094,156.017,199.724,354.679,588.38
23.659,56.008,183.887,148.028,166.921,147.034,157.094,154.894,197.512,352.713,586.362
23.715,56.176,183.001,148.028,166.921,146.112,156.217,154.231,197.096,350.607,578.418
