22.15,-54.959526,-62.676803
22.158,-54.995746,-62.637329
22.167,-54.99467,-62.575897
22.175,-55.120092,-62.459305
22.183,-55.172809,-62.438782
22.192,-55.272728,-62.365646
22.2,-55.294217,-62.328125
22.208,-55.416395,-62.245254
22.217,-55.492805,-62.163559
22.225,-55.583513,-62.055649
22.233,-55.636004,-61.868179
22.242,-55.624458,-61.742447
22.25,-55.580074,-61.541397
22.258,-55.654509,-61.346207
22.267,-55.625749,-61.200302
22.275,-55.658249,-61.015808
22.283,-55.701675,-60.852081
22.292,-55.679601,-60.655685
22.3,-55.820242,-60.412476
22.308,-55.783977,-60.256134
22.317,-55.831955,-60.000198
22.325,-55.745342,-59.696228
22.333,-55.563134,-59.377381
22.342,-55.546978,-59.049301
22.35,-55.473753,-58.638397
22.358,-55.272724,-58.307373
22.367,-55.239692,-57.93274
22.375,-55.22908,-57.559952
22.383,-55.214672,-57.194107
22.392,-55.143932,-56.811584
22.4,-55.127399,-56.425384
22.408,-55.099117,-56.020447
22.417,-55.06484,-55.606796
22.425,-54.973744,-55.15802
22.433,-54.95109,-54.670182
22.442,-54.894091,-54.243789
22.45,-54.837261,-53.783554
22.458,-54.775663,-53.395721
22.467,-54.80162,-52.992142
22.475,-54.727842,-52.653305
22.483,-54.81001,-52.280502
22.492,-54.839416,-51.939804
22.5,-54.846149,-51.695099
22.508,-54.863359,-51.447128
22.517,-54.874075,-51.17015
22.525,-54.879223,-50.968705
22.533,-54.851364,-50.812149
22.542,-54.826961,-50.695007
22.55,-54.87975,-50.511261
22.558,-54.84339,-50.383408
22.567,-54.864058,-50.298111
22.575,-54.870954,-50.282882
22.583,-54.886204,-50.30069
22.592,-54.883669,-50.395554
22.6,-54.93638,-50.412018
22.608,-54.956633,-50.457169
22.617,-54.988634,-50.563079
22.625,-54.950678,-50.594375
22.633,-54.929375,-50.65889
22.642,-54.905913,-50.716797
22.65,-54.82313,-50.831925
22.658,-54.804617,-50.876526
22.667,-54.806324,-50.911377
22.675,-54.771237,-50.983384
22.683,-54.792824,-51.029022
22.692,-54.77455,-51.033509
22.7,-54.753334,-51.026856
22.708,-54.626631,-51.032639
22.717,-54.594894,-51.000794
22.725,-54.587272,-50.914841
22.733,-54.582384,-50.757202
22.742,-54.524862,-50.647827
22.75,-54.505619,-50.490845
22.758,-54.452481,-50.337219
22.767,-54.393469,-50.173569
22.775,-54.400606,-49.940216
22.783,-54.299578,-49.757523
22.792,-54.298786,-49.542022
22.8,-54.287151,-49.294327
22.808,-54.283428,-49.062683
22.817,-54.232286,-48.851044
22.825,-54.22952,-48.636902
22.833,-54.232473,-48.385635
22.842,-54.192413,-48.20491
22.85,-54.158438,-48.009812
22.858,-54.059536,-47.770966
22.867,-54.057045,-47.575409
22.875,-53.984324,-47.351761
22.883,-54.013775,-47.073746
22.892,-53.949343,-46.871154
22.9,-53.829134,-46.699158
22.908,-53.866192,-46.457932
22.917,-53.795174,-46.304123
22.925,-53.807354,-45.944092
22.933,-54.003826,-45.278717
22.942,-53.715553,-45.513534
22.95,-53.850802,-44.925293
22.958,-53.895294,-44.532883
22.967,-53.776443,-44.45015
22.975,-53.827507,-44.190186
22.983,-53.739426,-44.045624
22.992,-53.70166,-43.920776
23,-53.773588,-43.668686
23.008,-53.672657,-43.611099
23.017,-53.736468,-43.381393
23.025,-53.698265,-43.240082
23.033,-53.573183,-43.196198
23.042,-53.431866,-43.236878
23.05,-53.473566,-42.988098
23.058,-53.310938,-43.050598
23.067,-53.31538,-42.871796
23.075,-53.283395,-42.827148
23.083,-53.249825,-42.838745
23.092,-53.236937,-42.821075
23.1,-53.334057,-42.683578
23.108,-53.329516,-42.672089
23.117,-53.323835,-42.662979
23.125,-53.310362,-42.643799
23.133,-53.212921,-42.668228
23.142,-53.107965,-42.709991
23.15,-53.068023,-42.670929
23.158,-53.044172,-42.523208
23.167,-52.899168,-42.407669
23.175,-52.892358,-42.294159
23.183,-52.874384,-42.247132
23.192,-52.781799,-42.365753
23.2,-52.919429,-42.097885
23.208,-52.893472,-42.07518
23.217,-52.841358,-41.991104
23.225,-52.786762,-41.931687
23.233,-52.656894,-41.912522
23.242,-52.613138,-41.705581
23.25,-52.567606,-41.57454
23.258,-52.444893,-41.387115
23.267,-52.444035,-41.059387
23.275,-52.404219,-40.929748
23.283,-52.328859,-40.625962
23.292,-52.265529,-40.491867
23.3,-52.164759,-40.248047
23.308,-52.155142,-39.884048
23.317,-52.042541,-39.677475
23.325,-51.928651,-39.303574
23.333,-51.887915,-39.113449
23.342,-51.778248,-38.800766
23.35,-51.673483,-38.554535
23.358,-51.668544,-38.219742
23.367,-51.582153,-38.050918
23.375,-51.557859,-37.798706
23.383,-51.51648,-37.669159
23.392,-51.474293,-37.428238
23.4,-51.416748,-37.400604
23.408,-51.412325,-37.276001
23.417,-51.42215,-37.133667
23.425,-51.37705,-37.076232
23.433,-51.312212,-37.169067
23.442,-51.384331,-37.131408
23.45,-51.372814,-37.25061
23.458,-51.387074,-37.290191
23.467,-51.407886,-37.238693
23.475,-51.370829,-37.361985
23.483,-51.289719,-37.464081
23.492,-51.212448,-37.556305
23.5,-51.225814,-37.493606
23.508,-51.171944,-37.504319
23.517,-51.11623,-37.462967
23.525,-51.096582,-37.435028
23.533,-51.101578,-37.384583
